previous_experience_months,sales_experience_months,customer_service_experience_months,certification_count,relevant_certification,assessment_score,communication_score,product_knowledge_score,sales_skill_score,customer_service_score
0,0,0,0,0,44,60,59,42,49
10,3,2,1,0,58,74,42,46,61
0,0,0,0,0,58,61,54,53,65
36,31,0,0,0,65,53,45,63,51
30,0,24,1,1,49,50,68,60,64
43,3,9,2,0,52,68,64,62,67
0,0,0,1,0,44,60,57,60,36
20,0,11,3,0,59,67,47,40,65
35,12,17,0,0,56,61,63,66,68
32,23,9,1,0,60,65,91,57,32
4,4,0,3,1,68,70,66,61,73
35,35,5,3,1,51,69,70,73,51
5,0,0,0,0,67,61,69,63,64
0,0,0,0,0,62,76,44,81,70
72,72,36,3,1,83,79,75,81,63
39,26,11,0,0,56,44,69,62,20
53,26,24,2,1,68,65,64,82,61
22,0,0,1,1,49,51,61,67,62
72,42,53,3,1,83,88,72,78,78
0,0,0,2,0,44,51,50,47,37
36,0,0,2,0,44,62,23,60,37
57,13,32,4,1,93,90,64,64,59
14,2,0,3,1,51,42,52,25,45
19,6,10,3,1,73,95,92,59,64
28,14,15,2,1,61,65,56,58,58
37,0,4,1,0,53,82,67,63,88
55,33,27,1,1,67,76,73,78,49
23,1,0,0,0,63,42,61,69,67
0,0,0,5,0,71,61,70,66,53
24,18,4,1,0,49,58,44,63,55
45,25,28,0,0,84,71,48,71,65
25,25,11,1,0,76,64,82,63,54
12,0,9,0,0,68,74,67,50,68
7,0,7,4,1,27,44,60,29,49
63,18,41,1,1,69,80,84,58,86
38,38,38,1,1,79,88,63,71,70
52,21,25,2,1,67,73,77,75,68
12,9,0,0,0,49,64,46,55,48
17,15,0,3,0,61,76,36,50,54
13,0,7,1,1,42,47,55,60,56
53,41,17,2,1,83,77,68,71,65
81,58,69,4,1,85,100,79,78,87
62,45,43,2,0,86,79,83,90,79
33,7,23,1,0,49,59,73,73,58
59,22,50,1,1,75,93,68,66,51
8,0,0,2,0,73,74,81,47,45
36,1,5,4,1,46,61,60,83,44
88,63,47,3,1,99,89,94,100,90
8,0,8,0,0,59,81,63,59,51
30,9,3,2,1,59,66,50,57,23
24,0,0,1,1,44,26,44,54,37
24,16,6,0,0,63,69,66,41,52
29,17,29,1,1,71,68,72,62,74
19,19,3,2,1,58,73,53,59,31
1,1,0,0,0,30,41,40,69,55
76,43,70,2,1,80,100,92,97,51
18,0,8,1,1,43,62,47,55,48
62,51,32,2,0,72,87,63,66,79
2,2,2,2,0,75,62,28,44,57
33,8,9,3,1,51,68,50,72,65
5,0,5,1,0,56,76,49,56,54
49,26,2,1,1,42,67,57,40,60
47,33,14,0,0,82,58,86,53,51
64,43,40,1,1,76,58,79,78,78
27,0,0,2,1,38,53,49,43,62
48,6,6,1,1,63,79,84,73,55
67,33,25,0,0,60,62,59,72,61
39,20,5,2,1,71,64,76,65,55
49,11,37,3,1,67,81,64,78,73
0,0,0,1,1,55,69,58,44,28
45,9,5,2,0,56,55,74,69,49
37,18,20,3,1,55,44,69,45,74
54,5,40,0,0,58,76,52,77,62
24,4,19,2,1,74,59,67,42,60
21,0,9,1,1,65,76,67,52,56
15,1,8,1,1,54,47,80,56,38
53,17,46,3,0,47,82,72,60,66
18,7,18,1,1,50,45,28,47,55
9,0,0,2,1,52,68,67,27,59
31,31,13,3,1,80,68,74,70,59
76,45,32,2,0,75,100,72,62,73
