agent_id,previous_experience_months,sales_experience_months,customer_service_experience_months,certification_count,relevant_certification,assessment_score,communication_score,product_knowledge_score,sales_skill_score,customer_service_score,competency_level
AGT00001,28,18,16,2,0,64,81,76,49,61,Needs Improvement
AGT00002,0,0,0,1,0,52,76,61,51,49,Basic
AGT00003,53,33,37,0,0,86,76,73,70,74,Advanced
AGT00004,53,53,36,2,1,72,67,56,87,67,Advanced
AGT00005,0,0,0,0,0,42,44,34,31,33,Needs Improvement
AGT00006,24,0,4,1,1,53,47,71,39,63,Advanced
AGT00007,31,10,1,1,1,62,62,52,46,56,Needs Improvement
AGT00008,4,4,0,3,1,68,70,66,61,73,Basic
AGT00009,51,11,17,1,0,73,68,49,54,57,Competent
AGT00010,24,16,6,0,0,63,69,66,41,52,Competent
AGT00011,25,24,0,2,1,78,78,60,60,65,Competent
AGT00012,78,44,45,3,1,93,62,55,78,73,Advanced
AGT00013,43,27,26,2,1,57,60,52,49,57,Advanced
AGT00014,52,52,30,1,1,96,70,64,63,73,Advanced
AGT00015,68,35,20,2,0,75,67,70,78,84,Basic
AGT00016,16,0,0,0,0,63,78,54,47,64,Competent
AGT00017,37,37,30,3,1,64,92,50,78,78,Competent
AGT00018,0,0,0,2,1,57,65,52,44,34,Competent
AGT00019,58,29,43,1,1,86,75,54,70,57,Advanced
AGT00020,38,16,12,4,1,52,48,69,61,62,Advanced
AGT00021,27,12,7,0,0,58,66,70,74,67,Basic
AGT00022,2,0,0,0,0,34,49,55,67,47,Needs Improvement
AGT00023,57,20,31,1,1,76,97,76,86,65,Advanced
AGT00024,26,0,16,1,1,53,44,82,49,76,Basic
AGT00025,0,0,0,3,1,54,65,55,42,63,Competent
AGT00026,0,0,0,1,0,84,51,46,64,69,Needs Improvement
AGT00027,51,19,25,2,1,84,70,73,82,61,Competent
AGT00028,0,0,0,0,0,54,77,50,76,56,Basic
AGT00029,42,20,30,5,1,72,81,62,65,77,Competent
AGT00030,30,19,0,2,0,75,69,57,73,60,Basic
AGT00031,96,47,60,3,1,87,96,71,94,77,Advanced
AGT00032,13,0,13,1,1,58,53,54,56,46,Basic
AGT00033,32,15,25,2,0,58,63,68,57,51,Competent
AGT00034,7,2,0,1,0,39,69,68,51,62,Basic
AGT00035,44,16,19,2,1,61,75,79,57,48,Competent
AGT00036,66,41,28,1,1,78,70,76,66,80,Advanced
AGT00037,19,19,3,2,0,61,61,57,51,50,Competent
AGT00038,31,4,11,3,1,45,69,23,31,50,Competent
AGT00039,0,0,0,1,0,44,44,58,51,50,Basic
AGT00040,48,25,33,1,0,70,60,37,67,66,Competent
AGT00041,61,34,55,0,0,80,80,43,79,68,Competent
AGT00042,53,26,24,2,1,68,65,64,82,61,Competent
AGT00043,51,14,0,0,0,68,41,58,69,46,Competent
AGT00044,21,0,0,2,1,59,84,57,77,77,Competent
AGT00045,8,0,8,2,0,65,53,82,50,61,Basic
AGT00046,16,7,7,3,1,62,65,69,44,60,Basic
AGT00047,59,32,41,1,1,79,66,66,82,63,Basic
AGT00048,43,14,12,3,1,58,64,81,79,57,Competent
AGT00049,45,24,33,1,0,88,61,87,86,61,Competent
AGT00050,11,6,3,1,1,48,74,68,65,69,Advanced
AGT00051,50,35,13,2,1,81,69,54,41,54,Advanced
AGT00052,21,14,9,3,1,71,83,60,70,39,Basic
AGT00053,22,0,0,0,0,48,43,29,50,47,Basic
AGT00054,75,22,49,1,1,70,87,58,72,58,Advanced
AGT00055,27,14,5,1,0,64,37,43,72,48,Basic
AGT00056,28,10,13,2,0,47,40,51,64,65,Basic
AGT00057,16,14,0,1,1,64,83,62,50,24,Basic
AGT00058,27,27,11,0,0,98,86,49,64,92,Advanced
AGT00059,2,0,0,1,1,43,60,37,56,64,Needs Improvement
AGT00060,30,21,30,2,1,94,80,63,61,63,Advanced
AGT00061,0,0,0,1,1,44,55,45,59,38,Needs Improvement
AGT00062,54,32,7,0,0,54,65,52,38,63,Competent
AGT00063,38,10,18,0,0,56,55,59,68,69,Competent
AGT00064,49,19,30,3,0,68,81,57,70,60,Basic
AGT00065,39,26,39,3,1,54,80,49,66,50,Basic
AGT00066,43,31,28,1,1,69,90,61,59,94,Advanced
AGT00067,40,3,20,0,0,55,83,55,30,69,Basic
AGT00068,20,3,12,2,1,46,64,53,47,58,Basic
AGT00069,57,31,16,2,1,80,59,70,64,70,Competent
AGT00070,23,0,0,1,0,58,84,65,69,65,Advanced
AGT00071,0,0,0,0,0,40,40,58,36,56,Needs Improvement
AGT00072,0,0,0,1,1,44,58,43,52,24,Advanced
AGT00073,0,0,0,0,0,53,53,32,33,47,Competent
AGT00074,35,35,21,2,1,69,65,82,73,60,Advanced
AGT00075,34,1,15,3,0,58,76,67,33,60,Basic
AGT00076,21,6,0,2,1,72,75,55,91,74,Competent
AGT00077,21,0,21,1,1,56,67,61,52,36,Competent
AGT00078,34,10,4,2,1,54,57,76,27,45,Needs Improvement
AGT00079,4,3,4,1,0,68,69,89,56,57,Needs Improvement
AGT00080,7,0,0,1,0,63,53,61,44,58,Basic
AGT00081,46,37,12,2,0,73,67,79,59,74,Competent
AGT00082,24,14,0,1,0,51,57,39,49,73,Basic
AGT00083,2,0,2,3,1,63,84,57,46,52,Competent
AGT00084,25,2,0,0,0,48,58,53,45,66,Needs Improvement
AGT00085,24,10,0,4,1,38,28,55,33,57,Needs Improvement
AGT00086,54,27,8,4,1,66,87,86,76,71,Competent
AGT00087,19,0,12,1,1,69,66,60,68,56,Competent
AGT00088,22,0,17,0,0,64,64,49,55,56,Needs Improvement
AGT00089,28,11,28,3,1,66,65,49,64,53,Basic
AGT00090,47,33,14,0,0,82,58,86,53,51,Basic
